left eye - 1 (centre x),left eye - 1 (centre y),left eye - 2 (inner corner x),left eye - 2 (inner corner y),left eye - 3 (outer corner x),left eye - 3 (outer corner y),right eye - 1 (centre x),right eye - 1 (centre y),right eye - 2 (inner corner x),right eye - 2 (inner corner y),right eye - 3 (outer corner x),right eye - 3 (outer corner y),left eyebrow - 1 (inner end x),left eyebrow - 1 (inner end y),left eyebrow - 2 (outer end x),left eyebrow - 2 (outer end y),right eyebrow - 1 (inner end x),right eyebrow - 1 (inner end y),right eyebrow - 2 (outer end x),right eyebrow - 2 (outer end y),mouth - 1 (left corner x),mouth - 1 (left corner y),mouth - 2 (right corner x),mouth - 2 (right corner y),mouth - 3 (centre top lip x),mouth - 3 (centre top lip y),mouth - 4 (centre bottom lip x),mouth - 4 (centre bottom lip y),mouth - 5 (extra x),mouth - 5 (extra y),mouth - 6 (extra x),mouth - 6 (extra y),expression
66.0335639098,39.0022736842,59.582075188,39.6474225564,73.1303458647,39.9699969925,30.2270075188,36.4216781955,36.3565714286,37.3894015038,23.4528721805,37.3894015038,56.9532631579,29.0336481203,80.2271278195,32.2281383459,40.2276090226,29.0023218045,16.3563789474,29.6474706767,61.1953082707,79.9701654135,28.6144962406,77.3889924812,43.3126015038,72.9354586466,43.1307067669,84.4857744361,43.3126015038,72.9354586466,43.1307067669,84.4857744361,neu
64.3329361702,34.9700765957,58.8561702128,35.2743489362,70.7227234043,36.1871659574,29.9492765957,33.4487148936,36.0347234043,34.3615319149,24.4725106383,33.1444425532,53.9874042553,28.2759489362,78.634212766,30.4059234043,42.7288510638,26.1460425532,16.8653617021,27.0588595745,56.4214468085,76.352,35.1223829787,76.0476595745,46.6845957447,70.2665531915,45.4679148936,85.4801702128,46.6845957447,70.2665531915,45.4679148936,85.4801702128,smile
65.0570526316,34.9096421053,59.412,36.3209684211,70.9844210526,36.3209684211,30.9037894737,34.9096421053,37.6781052632,36.3209684211,24.9764210526,36.6032210526,55.7425263158,27.5709473684,78.8873684211,32.6516210526,42.1938947368,28.1354526316,16.7911578947,32.0871157895,60.8229473684,73.0143157895,33.7263157895,72.732,47.2749473684,70.1917894737,47.2749473684,78.6593684211,47.2749473684,70.1917894737,47.2749473684,78.6593684211,neu
65.2257391304,37.261773913,60.0033391304,39.1271791304,72.3147130435,38.3809669565,32.0230956522,37.261773913,37.6186434783,38.7541147826,25.3072695652,38.0079026087,56.4338086957,30.9298643478,77.9102608696,31.6657252174,41.6715130435,31.0499895652,20.4580173913,29.9093426087,65.5988869565,72.7037217391,37.2454956522,74.1954782609,50.3031652174,70.0916869565,51.5611826087,78.2683826087,50.3031652174,70.0916869565,51.5611826087,78.2683826087,neu
66.7253006135,39.6212613497,58.5658895706,39.6212613497,72.5159263804,39.8844662577,32.244809816,38.0420319018,36.9823803681,39.0948515337,22.5061104294,38.3052368098,57.2495705521,30.6721766871,77.7629447853,31.7372466258,38.0354355828,30.9353815951,15.9258699387,30.6721766871,60.6714110429,77.5232392638,31.1917546012,76.9973006135,44.9627484663,73.7073865031,44.2271411043,86.8711656442,44.9627484663,73.7073865031,44.2271411043,86.8711656442,smile
69.6807476636,39.9687476636,62.8642990654,40.169271028,76.8982429907,41.1718878505,29.1835514019,37.563364486,36.401046729,39.3676261682,21.7655327103,38.5655327103,59.7662803738,31.6512897196,83.3136448598,35.3580560748,39.408,30.5463925234,14.9490841121,32.1501308411,64.8690841121,82.4711775701,31.9904299065,81.6690841121,49.3081121495,78.4876261682,49.4323738318,93.8987663551,49.3081121495,78.4876261682,49.4323738318,93.8987663551,smile
64.1318657718,34.2900402685,57.7971543624,35.1540402685,69.0265771812,34.2900402685,29.5789530201,33.1380402685,34.7616644295,33.7140402685,24.1082416107,33.1380402685,58.6611543624,27.0913288591,76.2252885906,29.1073288591,40.2330201342,27.0913288591,19.500885906,27.6673288591,55.7817986577,70.5709530201,33.8983087248,70.2829530201,45.1277315436,65.0995973154,45.4157315436,78.0570201342,45.1277315436,65.0995973154,45.4157315436,78.0570201342,neu
67.4688932039,39.4134524272,59.5549514563,40.4547728155,75.5916116505,40.0382446602,29.355961165,39.6217165049,37.4782135922,40.4547728155,21.0253980583,40.0382446602,56.0141359223,27.3339029126,84.1304854369,31.2910135922,39.7691650485,26.9173747573,11.861592233,31.9158058252,66.843961165,80.0257864078,30.1892038835,81.275184466,48.1001941748,71.2786019417,48.516815534,91.0639223301,48.1001941748,71.2786019417,48.516815534,91.0639223301,sad
65.80288,34.7552,58.65216,37.32928,72.95296,35.89952,27.47584,36.1856,36.3424,37.0432,20.32512,37.61536,57.50784,25.0304,79.2736,28.63424,36.3424,26.17472,12.88896,31.32288,65.5168,73.36832,31.19424,74.79808,49.21344,67.648,49.49952,83.09312,49.21344,67.648,49.49952,83.09312,neu
64.1212307692,36.7403076923,58.6209230769,37.8406153846,71.272,37.2903384615,29.4689230769,38.3901538462,36.3446153846,39.4904615385,22.8683076923,40.0406153846,56.9710769231,28.4897230769,75.9470769231,29.5897846154,36.6190769231,29.3147692308,16.8178461538,33.9901538462,65.7716923077,69.1926153846,32.7692307692,72.2178461538,49.2701538462,67.5427692308,49.5452307692,76.8935384615,49.2701538462,67.5427692308,49.5452307692,76.8935384615,neu
